season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,hum,windspeed,cnt
4,1,11,10,0,3,1,1,0.36,0.62,0.0,172
4,0,10,23,0,6,0,1,0.38,0.82,0.0,108
1,1,1,6,0,4,1,1,0.12,0.54,0.1642,86
3,0,8,7,0,3,1,1,0.66,0.65,0.0896,308
2,1,4,14,0,1,1,3,0.36,0.62,0.4478,114
2,1,4,8,0,5,1,1,0.4,0.5,0.0,592
3,1,9,3,0,6,0,1,0.56,0.83,0.2836,45
2,1,6,20,0,3,1,1,0.68,0.36,0.4179,448
4,0,10,15,0,4,1,1,0.58,0.46,0.1343,219
3,1,8,15,0,3,1,1,0.76,0.52,0.2537,266
3,1,7,3,0,0,0,1,0.72,0.84,0.1343,33
4,1,10,6,0,3,1,1,0.38,0.82,0.0,178
1,1,3,19,0,3,1,1,0.64,0.33,0.1642,472
1,1,2,5,1,1,0,2,0.24,0.6,0.3582,6
4,1,12,2,0,3,1,1,0.46,0.67,0.1642,9
1,1,3,21,0,3,1,1,0.6,0.4,0.0896,288
3,1,8,15,0,2,1,1,0.82,0.46,0.2239,283
3,0,7,17,0,4,1,1,0.84,0.53,0.194,468
3,1,8,5,0,3,1,1,0.6,0.73,0.194,40
1,1,2,21,0,1,1,1,0.46,0.36,0.2836,195
1,0,1,23,0,3,1,1,0.3,0.52,0.4627,28
4,0,11,20,0,2,1,1,0.4,0.71,0.0,209
1,1,12,5,0,1,1,1,0.16,0.64,0.194,9
4,0,9,7,0,5,1,3,0.62,0.94,0.1343,254
2,1,4,7,0,5,1,1,0.38,0.5,0.2836,315
2,0,4,6,0,0,0,1,0.36,0.66,0.4478,8
2,0,5,4,0,3,1,3,0.52,0.94,0.2985,3
2,0,3,7,0,6,0,1,0.2,0.51,0.194,41
3,0,8,6,0,0,0,1,0.7,0.89,0.1642,13
4,0,12,2,0,5,1,1,0.24,0.75,0.0,10
4,1,9,8,0,6,0,1,0.5,0.68,0.2836,211
1,0,2,18,0,3,1,1,0.32,0.26,0.0896,209
3,1,7,6,0,1,1,2,0.68,0.89,0.0896,157
2,0,5,22,0,1,1,1,0.52,0.68,0.0896,116
4,0,11,17,0,0,0,1,0.44,0.62,0.1642,256
2,0,5,22,0,5,1,1,0.6,0.78,0.1343,141
2,1,5,19,0,2,1,1,0.7,0.54,0.1343,487
3,0,7,14,0,4,1,2,0.84,0.49,0.2537,138
4,0,11,5,0,3,1,3,0.46,0.94,0.1045,13
2,0,4,11,0,3,1,2,0.64,0.78,0.2836,156
2,1,5,10,0,1,1,2,0.52,0.77,0.194,190
3,0,7,4,1,1,0,2,0.66,0.78,0.0896,12
1,0,1,17,0,2,1,2,0.22,0.82,0.194,125
2,1,3,22,0,6,0,3,0.44,1.0,0.2537,83
4,1,11,10,0,5,1,1,0.34,0.61,0.1642,201
3,0,9,12,0,4,1,2,0.66,0.83,0.1642,176
4,1,12,10,0,3,1,2,0.3,0.56,0.1642,136
3,0,7,15,0,4,1,1,0.86,0.5,0.194,146
1,0,12,1,0,0,0,1,0.22,0.69,0.1343,4
2,0,5,23,0,4,1,1,0.7,0.65,0.194,90
3,1,9,3,0,5,1,1,0.54,0.77,0.0,14
